Timestep,DHW Node 1,DHW Node 2,DHW Node 3,DHW Node 4,DHW Node 5,DHW Discharge Vol [L],DHW Discharge Energy [kWh],DHW Charge Energy [kWh],,SH Node 1,SH Node 2,SH Node 3,SH Node 4,SH Node 5,SH Discharge Vol [L],SH Discharge Energy [kWh],SH Charge Energy [kWh]
9003.0,50.50490158489998,50.47749650049158,48.04863082741394,45.821217548097245,23.315810292947035,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9004.0,50.42674145011703,50.42423788802421,48.003712301389605,45.69380826128128,23.532114500081956,0.3,0.012194583333333333,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9005.0,50.359802938167306,50.35698882383224,47.956339968446365,45.54633951286087,23.70901452915213,0.7,0.02845402777777778,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9006.0,50.29608059456387,50.292482690049496,47.913408762511736,45.4367113965057,23.926213553256176,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9007.0,50.2317501979708,50.22895219983553,47.87056991261266,45.32776822779371,24.13241850236457,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9008.0,50.16839278695341,50.1648154873403,47.82782322006758,45.21950572722716,24.32818586924015,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9009.0,50.10443080521552,50.10164883098393,47.785168486622375,45.11191964204629,24.514043978364647,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9010.0,50.04143623684552,50.037879424131134,47.74260551444944,45.00500574606225,24.69049441174707,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9011.0,53.0,53.0,53.0,49.07650098135752,25.01705292026568,0.0,0.0,7.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9012.0,52.93009303930819,52.923964211614106,52.78975950745213,48.135066533552276,24.10355853140387,14.06,0.5715194722222222,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
